Symbol,Date,Open,High,Low,Close,Volume
ADDA,06-Jan-2015,48,48,-62,-40,0
ADDD,06-Jan-2015,10,28,-2,8,0
ADDE,06-Jan-2015,206,309,-698,-650,0
ADDN,06-Jan-2015,334,334,-1502,-1220,0
ADDQ,06-Jan-2015,188,188,-1675,-1355,0
ADDS,06-Jan-2015,-40,-3,-454,-454,0
ADDT,06-Jan-2015,570,570,-3230,-2615,0
ADDV,06-Jan-2015,-44,-29,-160,-131,0
ADDX,06-Jan-2015,-84,-47,-585,-585,0
ADR,06-Jan-2015,786.32,790.56,776.66,780.55,0
ADRA,06-Jan-2015,1.84,1.84,0.6,0.71,0
ADRD,06-Jan-2015,1.9,2.75,0.97,1.07,0
ADRE,06-Jan-2015,1.53,1.63,0.35,0.39,0
ADRN,06-Jan-2015,1.4,1.4,0.16,0.26,0
ADRQ,06-Jan-2015,1.21,1.21,0.16,0.28,0
ADRS,06-Jan-2015,0.87,0.99,0.54,0.57,0
ADRT,06-Jan-2015,1.32,1.32,0.18,0.29,0
ADRV,06-Jan-2015,0.56,0.8,0.56,0.67,0
ADRX,06-Jan-2015,0.8,0.93,0.57,0.6,0
ADVA,06-Jan-2015,105,119,92,100,56814100
ADVD,06-Jan-2015,21,118,21,109,35272900
ADVE,06-Jan-2015,588,793,379,431,609103800
ADVN,06-Jan-2015,1159,1159,306,450,1204661000
ADVQ,06-Jan-2015,1058,1058,342,538,418798700
ADVS,06-Jan-2015,290,631,290,609,196370200
ADVT,06-Jan-2015,2322,2322,742,1088,1680274000
ADVV,06-Jan-2015,58,269,58,269,29915000
ADVX,06-Jan-2015,348,878,348,878,226285300
AEX,06-Jan-2015,411.67,414.62,406.3,408.43,0
AMZ,06-Jan-2015,448.97,450.95,432.28,440.43,0
ASHD,06-Jan-2015,38,1195,38,1145,0
ASHF,06-Jan-2015,22,355,-687,-579,0
ASHR,06-Jan-2015,1.57,1.84,0.42,0.49,0
ASHU,06-Jan-2015,60,908,60,566,0
AVDA,06-Jan-2015,88.8,1452.07,66.44,1078.91,0
AVDD,06-Jan-2015,45.96,6280.89,-241.15,865.47,0
AVDE,06-Jan-2015,1413.79,7887.38,157.58,2653.12,0
AVDS,06-Jan-2015,-163.24,741.01,-3776.93,-3776.93,0
AVDV,06-Jan-2015,-14.34,-14.34,-2306.37,-1716.68,0
AVDX,06-Jan-2015,-177.58,527.06,-5493.61,-5493.61,0
AVLD,06-Jan-2015,3.86,1010.95,3.86,1010.74,0
AVLF,06-Jan-2015,3.9,81.06,-571.7,-480.16,0
AVLR,06-Jan-2015,2,2,0.39,0.52,0
AVLU,06-Jan-2015,7.77,537.28,7.77,530.57,0
AVRA,06-Jan-2015,1.64,1.64,1.06,1.23,0
AVRD,06-Jan-2015,2.04,8.16,0.91,1.32,0
AVRE,06-Jan-2015,1.56,1.68,0.38,0.49,0
AVRN,06-Jan-2015,1.68,1.69,0.26,0.38,0
AVRQ,06-Jan-2015,2.59,2.59,0.15,0.28,0
AVRS,06-Jan-2015,0.77,1.23,0.77,0.83,0
AVRT,06-Jan-2015,1.94,1.94,0.24,0.36,0
AVRV,06-Jan-2015,0.92,0.92,0.5,0.63,0
AVRX,06-Jan-2015,0.81,1.13,0.77,0.8,0
AVVA,06-Jan-2015,2.27,56.81,2.27,56.81,0
AVVD,06-Jan-2015,0.89,80.05,0.89,35.27,0
AVVE,06-Jan-2015,39.25,609.1,39.25,609.1,0
AVVN,06-Jan-2015,72.02,1204.66,72.02,1204.66,0
AVVQ,06-Jan-2015,45.61,452.3,45.61,418.79,0
AVVS,06-Jan-2015,5.72,196.48,5.72,196.37,0
AVVT,06-Jan-2015,119.91,1680.27,119.91,1680.27,0
AVVV,06-Jan-2015,1.88,29.91,1.88,29.91,0
AVVX,06-Jan-2015,7.61,226.4,7.61,226.28,0
BANK,06-Jan-2015,2596.41,2598.67,2530.02,2532.91,0
BCMM,06-Jan-2015,100.13,100.13,98,98.65,0
BFX,06-Jan-2015,3213.48,3226.41,3189.48,3190.24,0
BJE,06-Jan-2015,173.23,174.37,168.73,170.5,0
BKNIF,06-Jan-2015,18874.6,18874.6,18388.35,18430.75,0
BKX,06-Jan-2015,71.89,72,69.63,69.96,0
BSESN,06-Jan-2015,27694.23,27698.93,26937.06,26987.46,0
BTK,06-Jan-2015,3472.55,3487.48,3374.6,3409.93,0
BTS,06-Jan-2015,3515.3,3515.3,3515.3,3515.3,0
BVSP,06-Jan-2015,47517.141,48061.281,47337.711,48000.922,0
BWH,06-Jan-2015,217.74,223.1,216.72,218.76,0
BXD,06-Jan-2015,261.91,262.69,258.3,259.89,0
