SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
ADDA,07-Jan-2015,20,23,-12,8,0
ADDD,07-Jan-2015,18,24,-5,18,0
ADDE,07-Jan-2015,381,782,381,761,0
ADDN,07-Jan-2015,1270,1336,438,970,0
ADDQ,07-Jan-2015,1042,1042,245,837,0
ADDS,07-Jan-2015,227,508,227,379,0
ADDT,07-Jan-2015,2332,2332,693,1815,0
ADDV,07-Jan-2015,5,50,-19,50,0
ADDX,07-Jan-2015,232,535,232,429,0
ADR,07-Jan-2015,785.87,790.05,781.93,788.46,0
ADRA,07-Jan-2015,1.33,1.33,0.9,1.06,0
ADRD,07-Jan-2015,1.64,1.64,0.93,1.18,0
ADRE,07-Jan-2015,3.26,3.58,2.34,3.12,0
ADRN,07-Jan-2015,4.42,4.67,1.53,2.7,0
ADRQ,07-Jan-2015,3.55,3.55,1.23,2.05,0
ADRS,07-Jan-2015,2.1,2.4,1.59,1.59,0
ADRT,07-Jan-2015,3.78,3.78,1.35,2.23,0
ADRV,07-Jan-2015,1.09,1.16,0.82,1.16,0
ADRX,07-Jan-2015,1.9,1.96,1.45,1.46,0
ADVA,07-Jan-2015,79,133,79,125,26155400
ADVD,07-Jan-2015,46,120,46,117,34950300
ADVE,07-Jan-2015,549,1120,549,1119,1001736000
ADVN,07-Jan-2015,1641,1701,1261,1538,2642063000
ADVQ,07-Jan-2015,1450,1627,1261,1627,1291058000
ADVS,07-Jan-2015,432,1018,432,1012,151658100
ADVT,07-Jan-2015,3170,3333,2632,3290,3959276000
ADVV,07-Jan-2015,57,346,57,346,46590200
ADVX,07-Jan-2015,489,1358,489,1358,198248400
AEX,07-Jan-2015,411.01,413.96,408.6,411.21,0
AMZ,07-Jan-2015,440.43,445.41,435.64,439.52,0
ASHD,07-Jan-2015,1,507,1,463,0
ASHF,07-Jan-2015,6,773,6,761,0
ASHR,07-Jan-2015,7,7,2.01,2.64,0
ASHU,07-Jan-2015,7,1228,7,1224,0
AVDA,07-Jan-2015,-23.65,309.36,-1428.86,-1065.62,0
AVDD,07-Jan-2015,112.75,2534.12,-1356.01,914.63,0
AVDE,07-Jan-2015,2573.54,62681.16,2573.54,62681.16,0
AVDQ,07-Jan-2015,2789.48,80833.95,2789.48,80833.95,0
AVDS,07-Jan-2015,234.89,5432.42,-6225.93,-6206.07,0
AVDV,07-Jan-2015,43.82,1604.3,43.82,1413.61,0
AVDX,07-Jan-2015,278.71,6461.86,-4824.27,-4792.46,0
AVLD,07-Jan-2015,1.32,346.58,1.32,344.44,0
AVLF,07-Jan-2015,3.46,516.83,3.46,507.72,0
AVLR,07-Jan-2015,3.6,4.67,1.96,2.47,0
AVLU,07-Jan-2015,4.79,858.86,4.79,852.16,0
AVRA,07-Jan-2015,0.85,1.21,0.5,0.71,0
AVRD,07-Jan-2015,3.26,5.82,0.54,1.35,0
AVRE,07-Jan-2015,2.86,3.7,2.2,2.67,0
AVRN,07-Jan-2015,4.3,4.3,1.85,2.62,0
AVRQ,07-Jan-2015,2.21,3.03,1.8,2.67,0
AVRS,07-Jan-2015,1.51,2.12,0.7,0.7,0
